id,name,overall_score,population_density,median_age_of_population,population,annual_population_growth_rate,female_population,male_population,cost_of_a_one_bedroom_apartment_in_the_city_center,average_salary,income_inequalities,gross_domestic_product__gdp,unemployment_rate,average_price_of_milk__1_liter,vat,number_of_universities,maximum_income_tax,big_mac_index,mcdonald_s_mcmeal_or_combo_meal_price,fuel_price__1_liter,hospital_beds_per_1_000_inhabitants,minimum_income_tax,average_temperature,average_maximum_temperature,humidity_rate,average_minimum_temperature,unesco_world_heritage_landmarks,sports_facilities__stadiums__arenas_with_20_000__seats,cost_of_the_monthly_public_transport_ticket,price_of_a_single_transportation_ticket,number_of_airports,global_cities_index,number_of_billionaires,number_of_public_wi_fi_spots,average_commuting_time,number_of_cinemas,facebook_users,commuter_pain_index,number_of_international_embassies,number_of_international_organizations__headquarters,green_area_per_person,number_of_museums,research_institutions_and_think_tanks,foreign_direct_investment__fdi,number_of_theaters,football_clubs_in_the_top_division,length_of_subway_per_100_000_inhabitants,total_surface,international_population,single_population,number_of_sister_cities,murder_rate,quality_of_living,average_price_of_a_beer__0_5_l,total_length_of_bike_paths,number_of_kindergartens,distance_from_capital,number_of_tourists_per_year,level_of_air_pollution__air_quality_index,percentage_of_slum_population,median_household_income,theft_rate,position_in__the_world_s_best_city_to_live_in__ranking,income_growth,hospitals
167,Montpellier,74,4651 people/km²,,0.27 million,0.97%,53.6%,46.4%,650.93$,1 836.72$,,,14.3%,1.06$,19%,3,75%,4.93$,8.94$,1.45$,,0%,15.5°C,20.2°C,70.7%,10.8°C,0,1,55.9$,1.68$,1,,0,25,,6,37.5%,,,,,8,,,15,,,,,,,,,,,,,,,,,,,,
168,Bern,74,2440 people/km²,42 years,0.12 million,0.6%,52.5%,47.5%,1 243.69$,4 131.98$,0.3,,3.1%,1.32$,,,,,,,,,9.8°C,15°C,78%,,1,1,78.88$,4.51$,1,2.1,1,,,,39.1%,,81,,,4,0,,6,,0km,,,,,,,,,,,,,,,,,,
169,Bucharest,74,8260 people/km²,39.1 years,1.8 million,,51.3%,48.7%,419$,1 500.00$,,31$ billion,6.3%,1.3$,,,,,,,,,10.8°C,16.5°C,72%,5.7°C,1,2,15$,0.5$,2,,1,51,,,29.6%,,62,,,29,,,,3,,228 km²,,,23,,,,,,,,,,,,,,
170,Seville,73,4988 people/km²,,0.7 million,0.26%,52.5%,47.5%,583.46$,1 263.04$,0.32,230$ billion,33.8%,,,,,,,,,,18.2°C,23.4°C,59%,13°C,1,3,38.29$,1.57$,1,,,62,,,37.4%,,,,,20,,,6,,,,,,,,,,,,,,,,,,,,
171,Auckland,73,2900 people/km²,37 years,1.3 million,2.2%,52.5%,47.5%,1 170.73$,2 680.37$,,34.9$ billion,7.9%,1.79$,,,,,,,,,16.3°C,16.3°C,,16.3°C,0,0,139.9$,2.8$,1,,1,,,19,54.28%,,,,,,,,,,,,,,,,,,,,,,,,,,,,
172,Dhaka,73,23000 people/km²,23 years,18.2 million,4.2%,,,,200$,0.37,156$ billion,10.4%,,15%,80,25%,,,,9.7,5%,26°C,30.6°C,,21.5°C,0,3,,,2,0.65,4,,,,,,48,,,,2,,,,,,,,,,,,,,,,,60,,,,,
173,Bamako,73,7400 people/km²,16.4 years,1.81 million,,51%,49%,253.67$,114.2$,,,,2.32$,18%,1,,,5.48$,,,,28°C,34.3°C,49%,21.8°C,,,42$,1.5$,1,,,,,,,,18,,,3,,,,,,,,,,,,,,,,,,,,,,,
174,Nicosia,73,2800 people/km²,35.1 years,0.31 million,13%,49%,51%,473.29$,1 465.88$,,8.5$ billion,17.5%,1.52$,,,,,,,,,20.1°C,26°C,,14.2°C,1,1,44.72$,1.68$,1,,1,,,4,,,35,,,8,6,,,3,,111 km²,,,6,,,,,,,,,,,,,,
175,Seattle,73,2842 people/km²,37.1 years,0.62 million,,50.8%,49.2%,,,,,4.8%,,,17,,4.07$,,,,,11°C,15°C,,7°C,0,3,,,4,,,,28 minutes,,50.1%,,0,,,16,0,,,,,,,,,,48#,,,,,,,,,,,,
176,Dar es Salaam,73,2010 people/km²,,3.5 million,4.39%,,,513.58$,301.74$,0.36,9.33$ billion,31.5%,,,,,,,,,,27.1°C,31.8°C,,22.3°C,0,2,40.23$,0.22$,1,,0,,,,20.54%,,23,,,3,2,,,,,,,,,,,,,,,,,,,,,,
177,Indianapolis,73,861 people/km²,34 years,0.84 million,,51.6%,48.4%,1 062.80$,2 168.36$,0.48,,5.9%,0.55$,,5,,4.07$,6.5$,0.58$,3.1,,12°C,17.2°C,78%,,0,2,60$,1.75$,1,,,,,,54.1%,,0,0,,,2,,,,0km,,,,,,,2.11$,,,,,,,,,,,
178,Manama,73,5304 people/km²,30.1 years,0.32 million,2.17%,,,,,,,3.8%,,0%,9,0%,,,,,,26.5°C,30.1°C,61%,22.96°C,0,1,,,1,,0,,,,,,36,,,,,,,,,,,,,1,,,,,,,,,,,,,
179,Denver,73,1560 people/km²,33 years,0.64 million,,49.5%,50.5%,,3 166.00$,0.38,153$ billion,7.6%,,,12,,4.07$,,,,,10.2°C,18.1°C,54%,2.3°C,,,,,1,,,110,,,,,,,,22,31,,13,,,,,,,,,,,,,,,,,,,,
180,Hanoi,73,1900 people/km²,,6.5 million,,,,416.93$,275.36$,,13$ billion,4.3%,1.39$,,,,,,,,,24.8°C,28°C,78.8%,,1,3,8.82$,0.31$,1,,0,,,,,,54,,1.09m²,9,2,,,,,,,,,,,,,,,,,,,,,,
181,Florence,73,3500 people/km²,,0.38 million,0.45%,53.2%,46.8%,766.07$,1 430.27$,0.33,144$ billion,12%,,,,,,,,,,15.8°C,21.3°C,,10.3°C,1,1,39.13$,1.34$,1,,0,60,,,37.7%,,,,,8,,,51,,,,,,,,,,,,,,,,,,,,
182,Accra,72,9590 people/km²,21.7 years,2.29 million,3.36%,51%,49%,1 075.00$,303.76$,0.43,3$ billion,11%,,,,,,,,,,26.5°C,30°C,,15°C,1,1,200$,0.8$,1,,0,,,,,,44,0,,,6,,,,0km,,,,,,,,,,,,,,,,,,
183,San Sebastian,72,3062 people/km²,,0.19 million,0.27%,53%,47%,969.47$,1 826.07$,,,12.9%,1.06$,21%,,,,,,,,15.1°C,18.4°C,,11.8°C,0,1,42.48$,1.9$,1,,0,22,,3,36%,,,,,5,,,3,,,,,,,,,,,,,,,,,,,,
184,Zurich,72,4092 people/km²,42 years,0.38 million,,52.5%,47.5%,1 832.81$,5 827.24$,0.3,52$ billion,3%,,,,,,,,,,8.4°C,13.1°C,78.7%,,1,0,85.3$,4.11$,1,2.53,1,,,,39.1%,,0,,,,1,,,,0km,,,,,,,,,,,,,,,,,,
185,Muscat,72,209.91 people/km²,23 years,0.73 million,3.4%,41.3%,58.7%,,3 093.50$,,5.52$ billion,,,0%,5,0%,,,,,,28.4°C,33.02°C,72.1%,,0,,,,1,,0,,,7,,,38,,,,,,,,,,,,,,,,,,,,,,,,,,
186,Calgary,72,1329 people/km²,35.7 years,1.3 million,1.6%,50.1%,49.9%,,3 830.00$,0.44,54.4$ billion,4.5%,,13%,,,,,,,,4.1°C,10.5°C,,-2.4°C,0,1,94$,,1,,3,,26 minutes,,,,0,,,,4,,,,4.6km,,,,,,,,,,,,,,,,,,
187,Edinburgh,72,1844 people/km²,40.2 years,0.49 million,0.66%,,,911.18$,2 296.06$,0.35,16.7$ billion,7.2%,1.1$,20%,4,50%,,6.49$,,,,8.9°C,12.7°C,80%,,1,1,70.06$,2.08$,1,,0,,,,,,0,,109m²,18,0,,,,0km,,,,,0.25,,,,,,,,,,,,,
188,Cardiff,72,2500 people/km²,40.2 years,0.35 million,,51.1%,48.9%,,2 560.00$,0.46,,4.6%,,20%,4,50%,3.82$,,,3.38,0%,10.8°C,14.7°C,,7°C,1,1,98.5$,,1,,0,,,,50.84%,,0,0,,,0,,,,0km,,,,,2.1,,,,,,,,0,,,,,
189,Tucson,72,1100 people/km²,33 years,0.53 million,,50.5%,49.5%,,,,29.1$ billion,7.6%,,,,3.36%,4.07$,,,,,21°C,28°C,,13°C,0,1,42$,,,,0,,24 minutes,,,,0,,,15,0,,,,,,,,,,,,,,,,,,,,,,
190,Milan,72,7400 people/km²,43.8 years,1.39 million,,51.9%,48.1%,,2 423.00$,0.33,136$ billion,5%,,22%,,,4.93$,,,3.7,23%,12.5°C,17.2°C,76.8%,,1,1,38.3$,,3,2.01,4,,,,37.7%,,,0,,52,,,,,2.23km,,,,,,42#,,,,,,,0,,,,,
191,Porto-Novo,72,2000 people/km²,17.6 years,0.23 million,1.5%,,,,,0.38,,,,18%,,35%,,,,0.5,,27.7°C,30.5°C,,24.8°C,1,,,,0,,0,,,,,,0,,,,,,,,,,,,,12.7,,,,,,,,,,,,,
192,Ankara,72,1551 people/km²,,4.3 million,2%,49.5%,50.5%,257.35$,600.78$,0.39,42$ billion,14.7%,,,,,,,,,,12.15°C,17.8°C,,6.5°C,0,1,33.25$,0.69$,1,,3,125,,,43.6%,,84,,72m²,10,1,,13,1,,2 516 km²,,,35,,,,,,,,,,,,,,
193,Warsaw,72,3326 people/km²,41.7 years,1.75 million,-0.7%,54%,46%,588.03$,1 014.18$,0.35,56.3$ billion,4.1%,,,,,,,,,,9.2°C,13.3°C,76%,,1,2,29.25$,1.17$,2,,1,68,,31,,,85,,17.5m²,17,5,,30,,,517 km²,,,30,,,,,,,,,,,,,,
194,Maputo,72,3757.2 people/km²,16.8 years,1.3 million,2.44%,51.3%,48.7%,,,0.46,,36%,,17%,10,32%,,,,,10%,23°C,30°C,,19°C,1,2,23.17$,,1,,4,,,3,,,48,,,3,0,,1,,,,,,,,,,,,,,,,,,,,
195,Belgrade,72,3200 people/km²,,1.39 million,1.3%,,,308.15$,491.52$,0.27,16$ billion,20.8%,0.84$,20%,10,15%,4.93$,4.34$,,,,12.5°C,17.4°C,68%,,0,3,27.8$,0.77$,1,,0,93,,,50.2%,,67,,24m²,42,1,,,2,,360 km²,,,8,,,,,,,,,,,,,,
196,Marrakesh,71,,27.3 years,0.93 million,,50.7%,49.2%,425.83$,494.75$,,,8.9%,0.75$,20%,,,,,,,,20.8°C,27.7°C,57.5%,,0,6,12.28$,0.41$,1,,,5,,2,,,,,,3,11,,3,,,,,,,,,,,,,,,,,,,,
197,Austin,71,3300 people/km²,32.3 years,0.96 million,0.49%,50.5%,49.5%,,3 900.00$,0.37,,4.8%,,,13,12%,,,,,,20.3°C,26.1°C,,14.4°C,,2,,,1,,,102,,32,,,,,,10,47,,51,,,,,,,,,,,,,,,,,,,,
198,Vigo,71,2726 people/km²,,0.29 million,0.03%,50.5%,45.5%,465.84$,1 453.41$,,,26%,0.78$,21%,,,,,,,,14.4°C,18.8°C,79%,9.9°C,,1,36.34$,1.48$,1,,0,,,,37.4%,,,,,7,,,11,,0km,,,,,,,,,,,,,,,,,,
199,Toulouse,71,3800 people/km²,,0.44 million,,,,656.83$,2 386.94$,,30$ billion,8%,0.94$,,,,,,,,,14.2°C,18.8°C,78%,9.6°C,1,1,52.32$,1.79$,1,,0,30,,7,37.5%,,,,,12,,,,,,,,,,,,,,,,,,,,,,,
200,Bordeaux,71,4800 people/km²,,0.24 million,0.9%,54.6%,45.4%,675.46$,1 621.11$,0.32,,14%,1.01$,,,,,,,,,13.9°C,18.8°C,,9.1°C,1,,33.54$,1.68$,1,,0,50,,12,39%,,,0,,12,,,,,0km,,,57%,,,,,,,,,,,,,,,
201,Port-au-Prince,70,2500 people/km²,21.6 years,0.99 million,,50.5%,49.5%,833.33$,,,,,2.5$,10%,,,,8$,,,,29.1°C,32.2°C,,26.1°C,0,0,,1$,1,,0,,,,4.53%,,17,,,,0,,,,,,,,,6.9,202#,,,,,,,,,,,,
202,Kinshasa,70,91 people/km²,,9 million,4.6%,,,,17.5$,,,24%,,16%,8,50%,,,,,3%,26.3°C,30.6°C,,22.1°C,,4,,,1,,0,,,,,,55,,,,,,,,,,,,,112,,,,,,,,,,,,,
203,Saint Helier,70,3200 people/km²,40.1 years,0.03 million,0.83%,51%,49%,1 357.99$,2 822.55$,,,2.2%,1.45$,20%,,,,,,,,11.8°C,14.3°C,,9.4°C,0,0,63.57$,2.59$,1,,0,,,,,,0,0,,,0,,,,0km,,,,,,,,,,,,,,,,,,
204,Cairo,70,17190 people/km²,,9.1 million,1.6%,,,,,,50.06$ billion,12%,,10%,19,20%,,,,,,21.8°C,27.8°C,,15.8°C,2,3,,,1,1.49,6,,,,,,131,,,,3,,,,,,,,,,,,,,,,,,,,,,
205,Portland,70,1690 people/km²,35.9 years,0.6 million,,50.5%,49.5%,1 574.14$,3 304.49$,,,5.5%,0.85$,20%,,,,,,,,13.1°C,17.9°C,,8.3°C,0,0,100$,2.5$,,,0,,27 minutes,,0%,,0,,,22,0,,,,,,,,,,,,,,,,,,,,,,
206,Copenhagen,70,628 people/km²,,1.21 million,1.2%,,,1 363.86$,2 971.76$,0.27,83.3$ billion,5.8%,,,,,,,,,,8°C,11.1°C,82.3%,,0,1,58.41$,3.5$,1,1.99,0,,,32,,,105,,300m²,79,3,,23,1,,86.2 km²,22.7%,,,,,,346km,,,,,,,,,,
207,Oslo,70,3200 people/km²,,0.91 million,2%,50.5%,49.5%,1 410.21$,3 257.19$,0.26,33.8$ billion,3.7%,2.07$,25%,13,48%,8.31$,,,,,5.6°C,9.4°C,,1.8°C,0,2,82.31$,3.82$,3,,,17,,9,,,,,,50,,,4,,,454 km²,,,7,1.6,,,,,,11 million,,,,,,,
208,Boston,70,4920 people/km²,37.1 years,0.62 million,0.9%,50.8%,49.2%,,5 586.00$,,313.69$ billion,7.1%,,,13,30.3%,,,,,,11°C,15°C,,7°C,0,3,65$,,1,2.94,,,28 minutes,7,,,37,,,13,0,,7,,,,,,,,,,12km,,,,,,,,,,
209,"Washington, D.C.",70,3886 people/km²,33.9 years,0.62 million,2.7%,52.7%,47.3%,,4 155.00$,,103.3$ billion,6.1%,,10%,24,,,,,,,,19.3°C,,9.8°C,0,4,230$,,3,3.2,3,120,33.9 minutes,,50.7%,,185,8,,73,28,,48,,,,,77.3%,,21.9,,,,,,,33,,,,,,
210,Dili,70,451 people/km²,22.8 years,0.17 million,1.96%,49.3%,50.7%,,,,,18.4%,,0.9%,1,0.3%,,,,,0.1%,27°C,,,,0,0,20$,,1,,0,,,1,,,11,,,3,0,,0,,,,,,,,,,,,,,,,,,,,
211,Dublin,69,4590 people/km²,35.1 years,1.36 million,-0.7%,50%,50%,1 529.68$,2 681.28$,0.29,69.6$ billion,4.8%,,,,,,,,,,9.5°C,13.2°C,,5.7°C,0,2,135.84$,3.02$,1,1.82,3,84,,,,,56,,,23,,,,5,1.8km,114 km²,,,8,,,,25km,,,,,,,,,,
212,Long Beach,69,3550 people/km²,30.8 years,0.47 million,,50.9%,49.1%,,,,,12.3%,,,2,,4.07$,,,,,18.2°C,24°C,,12.9°C,0,0,65$,,1,,0,,32 minutes,,,,0,,,,0,,,,,,,,,,,,,,,,,,,,,,
213,Nassau,69,1200 people/km²,30.5 years,0.25 million,1.4%,51%,49%,,,,,13.7%,,0%,,0%,,,,3.1,,24.8°C,28.8°C,,20.8°C,0,0,,,1,,0,,,,,,6,0,,,0,,,,,,,,,27.4,108#,,,,,,,,,,,,
214,Nashville,69,460 people/km²,34.2 years,0.6 million,0.55%,51.6%,48.4%,,,0.46,81$ billion,6.6%,,7%,17,,,,,,,15.4°C,21.2°C,,9.7°C,0,2,,,1,,2,,,14,,,,,,,,,10,,,,,63%,,,,,,,,,,,,,,,
215,Lomé,69,5608 people/km²,19.3 years,1.5 million,3.2%,,,,,0.34,,,,18%,1,27%,,,,,,26.9°C,30°C,70.6%,24.4°C,0,,,,1,,0,,,,,,11,,,,,,,,,,,,,10.9,,,,,,,,,,,,,
216,Birmingham,69,3739 people/km²,36 years,1.1 million,0.5%,51.6%,48.4%,877.68$,2 160.80$,0.35,90$ billion,9.3%,,,,,,,,,,10.2°C,14°C,86%,,0,2,77.85$,3.11$,1,,0,,31.4 minutes,,,,0,,,8,0,,,,0km,,,,,,,,,,,,,,,,,,
217,Fort Worth,69,2403 people/km²,31.2 years,0.76 million,,50.7%,49.3%,,2 719.00$,0.48,,7.4%,,,10,,,,,,,18.6°C,24.4°C,,12.8°C,0,2,100$,,0,,,,28 minutes,,54.1%,,0,,,,0,,,,0km,,,,,8.4,,,,,,,,,,,,,
218,Maseru,68,1651.3 people/km²,,0.22 million,5.3%,55%,45%,,,0.52,,25.3%,,14%,,35%,,,,,22%,15.2°C,22.4°C,,8°C,0,,,,1,,0,,,1,,,5,,,,,,,,,,,,,37.3,,,,,,,,,,,,,
219,Tripoli,68,4500 people/km²,24.8 years,2.2 million,2%,,,,,,,,,0%,2,15%,,,,3.7,8%,20.49°C,25.38°C,,15°C,0,,,,2,,,,,,41.68%,,72,,,7,,,,,,,,1%,,,,,,,,,,,,,,,
220,Thessaloniki,68,7080 people/km²,42.8 years,0.79 million,,51%,48%,,,,,,,23%,5,,,,,,,15.2°C,19.8°C,68.3%,10°C,15,5,30$,,1,,,64,,16,,,,,,13,35,,37,,,,,,,,,,,57,,,,,,,,,
221,Guangzhou,68,1708 people/km²,,12.78 million,14.8%,,,,,,347$ billion,2.42%,,17%,82,45%,,,,,,22.6°C,26.3°C,77.5%,18.9°C,0,6,,,1,0.82,4,,36 minutes,,,,,,15.01m²,21,0,3.62$ billion,,,,,,,,,,,,,,,,,,,,,
222,Geneva,68,12300 people/km²,42 years,0.19 million,1.2%,52.2%,47.8%,,5 600.00$,0.3,50.1$ billion,6.3%,,8%,,,,,,,,10°C,14.4°C,,5.5°C,0,0,77.5$,,1,2.13,0,,25 minutes,,,,0,,,,3,,,,0km,,,,,,,,,,,,,,,,,,
223,Raleigh,68,1000 people/km²,31.9 years,0.4 million,3.5%,51.68%,48.32%,,,0.46,,7.8%,,6.7%,12,7.7%,,,,,,15.6°C,21.76°C,,9.62°C,0,1,,,1,,2,,24 minutes,33,,,,,,15,,,,,,,,,,,,,,,,,,,,,,,
224,Adelaide,67,659 people/km²,,1.3 million,,,,,,,65.8$ billion,9.52%,,10%,3,45%,,,,,,17.2°C,22.3°C,47%,,0,3,98$,,2,,,110,,33,50.8%,,36,,,18,,,21,,,,,,,,,,,,,,,,,,,,
225,Hamburg,67,,45 years,1.8 million,,,,,2 924.00$,0.32,113$ billion,8.6%,,19%,,,,,,,,9.02°C,12.7°C,,5.2°C,,5,,,1,,,,,61,31%,,,,,60,1,,40,,,,,,,,,,,,,,,,,,,,
226,Krakow,67,2319 people/km²,37.5 years,0.76 million,,,,506.68$,921.5$,,,,0.7$,23%,10,32%,4.93$,4.79$,1.2$,,,9.1°C,13.9°C,76%,4.3°C,1,0,23.67$,1.01$,1,,0,93,,13,45.2%,,22,0,,28,,21$ billion,15,,,,,,,,,0.82$,,,,,,,,,16,,
227,Strasbourg,67,3478 people/km²,,0.28 million,0.3%,,,649.84$,2 303.09$,,,9.5%,1.05$,19%,1,75%,4.93$,8.94$,1.42$,23,,11.7°C,16.3°C,79%,,1,1,54.11$,1.9$,1,,,40,,9,37.5%,,,19,11.91m²,11,,,13,,0km,,,,,,,,536km,,,,,,,,,,
228,Medellín,67,6925 people/km²,,2.44 million,1.01%,,,,555$,,17$ billion,14%,,19%,35,33%,4.54$,,,,0%,23.6°C,30.7°C,68%,16.6°C,0,1,37.1$,,2,,,27,,,39.09%,,,,,8,,,17,,1.28km,,,,,70,,,,,,,,,,,,,
229,Bristol,67,3892 people/km²,,0.42 million,1.8%,50.2%,49.8%,1 107.15$,2 328.91$,,14.6$ billion,3.7%,0.98$,20%,2,50%,3.84$,7.78$,,,,9.9°C,13°C,78%,6.8°C,0,0,85.63$,2.59$,1,,0,73,,7,50.8%,,,0,,6,,,7,,0km,,,,,1.52,,,,,,,,,,,,,
230,Abidjan,67,1727.55 people/km²,19.8 years,3.6 million,3.4%,,,,,0.42,,13%,,18%,11,36%,,,,,,26.6°C,30.17°C,75.3%,23.25°C,0,3,,,1,,0,,,,,,41,,,11,,,,,,,,,,,,,,,,,,,,,,,
231,Castries,67,780 people/km²,,0.06 million,1.2%,,,,,,,20%,,15%,1,30%,,,,,10%,27.4°C,29.9°C,,25°C,0,,,,,,0,,,,,,6,,,,,0.99$ billion,,,,,,,,25,,,,,,,,,,,,,
232,Phuket City,67,,,0.07 million,,,,,521$,,,,,7%,2,34%,2.35$,,,,10%,28.8°C,32.4°C,,25.2°C,,0,1$,,1,,,25,,,26.6%,,,,,2,,,,,,,,,,,,,,,,,,,,,,,
233,Granada,67,2701 people/km²,,0.25 million,,53.6%,46.4%,423.32$,1 306.67$,,0.78$ billion,36%,0.78$,,,,,,,,,16°C,21.7°C,,10.4°C,1,1,44.72$,1.34$,1,,,13,,6,36%,,,,,9,,,7,,0km,,,,,,,,,,,,,,,,,,
234,Venice,67,650 people/km²,46 years,0.27 million,-0.04%,52.6%,47.4%,858.99$,1 541.91$,,,5.4%,1.15$,22%,,,,,,,,12.9°C,16.2°C,75.8%,9.6°C,1,0,41.37$,1.68$,1,,0,32,,,,,,0,,,,,7,,0km,,,,,,,,,,,,,,,,,,
235,Brasilia,67,441.57 people/km²,,2.56 million,3.6%,52.2%,47.8%,,,,49.17$ billion,6%,,,5,27.5%,6.16$,,,2.62,0%,21.2°C,26.6°C,70.5%,16.1°C,1,2,76$,,1,,0,,,,,,86,,,2,3,,,,,,,,,,,,,,,,,0,,,,,
236,Sarajevo,67,2200 people/km²,41.2 years,0.34 million,,51%,49%,301$,569$,,16.76$ billion,27%,1$,,,,,,,,,,18°C,,6°C,0,1,37$,1.2$,1,,,18,,6,,,30,,,20,13,,4,,,141.5 km²,,,9,,,,,,,,,,,,,,
237,Nagoya,66,6923 people/km²,,2.32 million,-0.07%,,,603.5$,1 788.13$,,367$ billion,3.2%,1.84$,,,,,,,,,15.3°C,17.7°C,66.2%,13°C,0,2,178$,2.28$,1,,0,57,38 minutes,8,10.8%,,26,,,9,,,2,,4km,,,,,,,,0km,,,,,,,,,,
238,Jacksonville,65,425 people/km²,35.5 years,0.84 million,1.8%,51%,49%,,4 080.00$,,60.3$ billion,6%,,10%,4,,4.07$,,,,,20.3°C,26.3°C,72.5%,,0,,50$,,1,,,,25 minutes,,,,,0,,21,0,,,,,,,,,,,,,,,,,,,,,,
239,Djibouti,65,,22.1 years,0.6 million,,53.8%,46.2%,,,0.4,,43%,,7%,,30%,,,,,2%,29.9°C,33.9°C,,25.9°C,0,0,,,1,,0,,,,6.19%,,17,0,,,0,,,,0km,,,,,3.4,176#,,,,,,,,,,,,
240,Moroni,65,,18.9 years,0.01 million,2.06%,51.5%,48.5%,,,,,20%,,0.1%,1,0.3%,,,,,0.5%,25°C,29°C,,21°C,0,0,,,2,,0,,,,,,5,,,,0,,,,,,,,,,,,,,,,,,,,,,
241,Victoria,65,,32.9 years,0 million,0.9%,49%,51%,,,0.66,0.95$ billion,2%,,15%,1,,,,,,,27°C,29.1°C,,24.5°C,2,0,23$,,1,,0,,,,32.15%,,7,,,,0,,,,0km,,,,,,,,,,,,,,,,,,
242,Belfast,65,2415 people/km²,,0.28 million,,,,698.46$,1 996.12$,,,8.1%,1.14$,20%,3,,4.93$,7.14$,1.48$,,,9.7°C,12.3°C,,7.1°C,0,1,67.47$,2.59$,2,,0,32,,3,49.2%,,,,,7,,,0,,,,,,,,,1.62$,,,,,,,,,,,
243,Gaborone,65,1400 people/km²,22.5 years,0.23 million,3.4%,49.3%,50.7%,,,0.61,,11.7%,,10%,6,25%,,,,,,21.3°C,26.7°C,59%,15.8°C,0,1,,,1,,0,,,,,,16,0,,1,1,,,,0km,,,,,14.5,,,,,,,,,,,,,
244,Chennai,65,11000 people/km²,,4.68 million,0.78%,48.7%,51.3%,,485$,,,18.7%,,,2,,1.89$,,,312.5,,28.4°C,32.8°C,,24.1°C,,2,17.09$,,1,,0,21,,12,4.96%,,,,,4,,,,,0km,,,,,,,,,,,,,,,,,,
245,Brazzaville,65,10185.4 people/km²,17 years,11 million,,,,,,0.47,,30%,,18%,4,50%,,,,2.5,,25.5°C,31°C,68.7%,20°C,0,,,,1,,,,,,,,10,,,,,,,,,,,,,,,,,,,,,,,,,,
246,Beirut,64,,,,,54.1%,45.9%,,,,3.57$ billion,10%,,10%,17,20%,,,,,,20.7°C,24.2°C,,17.2°C,,2,,,1,,3,,,,,,62,,,,3,,,,,,,41.1%,,,,,,,,,,,,,,,
247,Dakar,64,1250 people/km²,18.2 years,1.03 million,,51.5%,48.5%,,,0.39,9.7$ billion,48%,,18%,4,50%,,,,,,24.4°C,27.6°C,76%,,2,1,,,2,,0,,,,51.88%,,61,0,,,1,,,,,,,,,,,,,,,,,,,,,,
248,Praia,64,1255 people/km²,23.1 years,0.05 million,1.43%,48.5%,51.5%,,,,,13.1%,,0.15%,2,12%,,,,,0%,25°C,,,,1,0,,,1,,0,,,0,,,9,,,3,0,,0,,,,,,,,,,,,,,,,,,,,
249,Barcelona,64,15900 people/km²,,1.62 million,0.4%,50.8%,49.2%,851.53$,1 532.76$,,84.5$ billion,10.63%,0.87$,,,,,,,,,15.5°C,20°C,72%,,1,2,54.29$,2.33$,2,2.59,2,163,,,,,0,,,8,1,,,2,,101.9 km²,17.4%,,,,,,,,505km,,,,,,,,
250,Kabul,64,,17.9 years,3.07 million,,49.3%,50.7%,,,0.29,,38%,,5%,,20%,,,,,,12°C,19.6°C,,4.3°C,0,0,,,1,,0,,,,1.14%,,36,0,,,0,,,,0km,,,,,2.4,,,,,,,,,,,,,
251,Belmopan,64,,21.3 years,0.02 million,,49.3%,50.7%,,700$,0.53,,13.1%,,10%,2,25%,,,,,,25.7°C,30.9°C,,20.3°C,1,0,,,1,,0,,,,23.81%,,11,0,,,0,,,,0km,,,,,,,,,,,,,,,,,,
252,Louisville-Jefferson County,64,743 people/km²,37 years,0.74 million,0.6%,51.58%,48.42%,,3 647.00$,0.42,58$ billion,8.4%,,10%,18,,,,,,,14.26°C,19.5°C,70%,,0,3,52.5$,,1,,0,,24 minutes,,50.7%,,,0,,35,0,,25,,,,,56.19%,,,,,,,,,,,,,,,
253,Agra,64,8954 people/km²,,1.74 million,1.8%,47%,53%,,0$,,,5.5%,,12.5%,2,30%,1.89$,,,,10%,26°C,32.6°C,42%,19.3°C,2,0,,,1,,,2,,2,5%,,,,,2,,,,,,,,,,2.81,,,,,,,,,,7.92,,,
254,Tulsa,64,789 people/km²,34.7 years,0.4 million,,51.3%,48.7%,,,,,6.2%,,,9,5.5%,,,,,,16°C,22°C,,10°C,0,1,,,3,,0,,21 minutes,,,,0,,,14,0,,,,,,,,,,,,,,,,,,,,,,
255,Tashkent,64,6800 people/km²,26.2 years,2.48 million,1.47%,50.8%,49.2%,,250$,,,,,20%,39,9%,,,,,22%,14.8°C,21.6°C,56%,8.9°C,,,28.8$,,1,,,,,18,,,36,,69m²,,8,,11,,1.45km,,,,,,,,,,,,,0,,,,,
256,Apia,64,2500 people/km²,25.2 years,0.04 million,0.2%,,,,,,,,,12.5%,3,29%,,,,,10%,26°C,29°C,,23°C,0,,,,1,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,
257,Tel Aviv,64,7800 people/km²,34 years,0.4 million,1.72%,,,,1 968.00$,0.39,41.2$ billion,4.4%,,17%,8,44%,4.67$,,,2.5,,20.3°C,24°C,69%,16.4°C,1,,,,2,1.69,4,,,,46%,,78,,,,2,,5,,,,,41%,,,,,,,,,,,,,,,
258,Baku,64,1000 people/km²,31.3 years,2.27 million,0.03%,,,,657$,0.33,,5.4%,,18%,33,,,,,,,15.1°C,18.1°C,,12°C,1,1,,,1,,,4,,9,,,33,,,7,12,,6,,1.61km,2 130 km²,,,13,,,,,,,,,,,,,,
